facility_id,block_id,dist_km
4CMC,B6900,3.2
4CMC,B6800,3.1
4CMC,B6700,2.47
4CMC,B6300,1.58
4CMC,FH,1.01
4CMC,SLQ6000,0.69
4CMC,B6000,0.52
4CMC,B2000,0.91
4CMC,SLQ12200,4.62
4CMC,B1200,4.99
WC,B6900,0.58
WC,B6800,0.32
WC,B6700,0.35
WC,B6300,1.24
WC,FH,1.81
WC,SLQ6000,2.13
WC,B6000,2.3
WC,B2000,3.2
WC,SLQ12200,4.74
WC,B1200,5.11
PVC,B6900,2.13
PVC,B6800,1.93
PVC,B6700,1.3
PVC,B6300,0.41
PVC,FH,0.55
PVC,SLQ6000,0.38
PVC,B6000,0.55
PVC,B2000,1.43
PVC,SLQ12200,3.63
PVC,B1200,4
KC,B6900,4.62
KC,B6800,4.52
KC,B6700,3.89
KC,B6300,3
KC,FH,2.43
KC,SLQ6000,2.11
KC,B6000,1.94
KC,B2000,1.6
KC,SLQ12200,6.1
KC,B1200,6.47
SG,B6900,0.49
SG,B6800,0.24
SG,B6700,0.44
SG,B6300,1.33
SG,FH,1.9
SG,SLQ6000,2.22
SG,B6000,2.39
SG,B2000,3.29
SG,SLQ12200,4.83
SG,B1200,5.2
WZ,B6900,0.42
WZ,B6800,0.18
WZ,B6700,0.57
WZ,B6300,1.35
WZ,FH,1.92
WZ,SLQ6000,2.24
WZ,B6000,2.41
WZ,B2000,3.31
WZ,SLQ12200,4.85
WZ,B1200,5.22
SPT,B6900,0.63
SPT,B6800,0.31
SPT,B6700,0.33
SPT,B6300,1.22
SPT,FH,1.79
SPT,SLQ6000,2.11
SPT,B6000,2.28
SPT,B2000,3.18
SPT,SLQ12200,4.86
SPT,B1200,5.23
BA,B6900,1.79
BA,B6800,1.69
BA,B6700,1.06
BA,B6300,0.95
BA,FH,0.34
BA,SLQ6000,1.28
BA,B6000,1.45
BA,B2000,2.06
BA,SLQ12200,4.59
BA,B1200,4.96
NPX,B6900,1.92
NPX,B6800,1.82
NPX,B6700,1.19
NPX,B6300,1.08
NPX,FH,0.45
NPX,SLQ6000,1.41
NPX,B6000,1.58
NPX,B2000,2.14
NPX,SLQ12200,4.67
NPX,B1200,5.04
BG,B6900,1.94
BG,B6800,1.83
BG,B6700,1.21
BG,B6300,0.23
BG,FH,0.7
BG,SLQ6000,0.58
BG,B6000,0.75
BG,B2000,1.59
BG,SLQ12200,3.49
BG,B1200,3.86
A3GS,B6900,2.56
A3GS,B6800,2.46
A3GS,B6700,1.83
A3GS,B6300,0.94
A3GS,FH,0.3
A3GS,SLQ6000,0.67
A3GS,B6000,0.84
A3GS,B2000,1.36
A3GS,SLQ12200,3.94
A3GS,B1200,4.31
TG,B6900,3.77
TG,B6800,3.67
TG,B6700,3.04
TG,B6300,2.15
TG,FH,1.9
TG,SLQ6000,1.26
TG,B6000,1.09
TG,B2000,0.2
TG,SLQ12200,3.18
TG,B1200,3.55
CG,B6900,4.5
CG,B6800,4.32
CG,B6700,3.71
CG,B6300,2.82
CG,FH,2.15
CG,SLQ6000,1.95
CG,B6000,1.78
CG,B2000,1.33
CG,SLQ12200,5.83
CG,B1200,6.2
A2GS,B6900,4.9
A2GS,B6800,4.52
A2GS,B6700,3.89
A2GS,B6300,3
A2GS,FH,3.57
A2GS,SLQ6000,3.28
A2GS,B6000,3.45
A2GS,B2000,4.17
A2GS,SLQ12200,0.75
A2GS,B1200,1.12
ZG,B6900,6.08
ZG,B6800,5.7
ZG,B6700,5.07
ZG,B6300,4.18
ZG,FH,4.75
ZG,SLQ6000,4.46
ZG,B6000,4.63
ZG,B2000,5.38
ZG,SLQ12200,0.59
ZG,B1200,0.22